synset	en	id	es	fr	pt-br	sw	de	ru	zh	ja	ar	hi	tr
	visitors	pengunjung	visitantes	visiteurs	visitantes	wageni	Besucher	посетители	访客	訪問者	الزوار	आगंतुक	ziyaretçiler
	bo	bo	bo	bo	bom	bo	bo	бо	博	ボー	بو	बो	ben
01582461-a	net	bersih	neto	net	líquido	wavu	Netto	сеть	网	ネット	صافي	नेट	ağ
00848420-v	insult	hina	insultar	insulter	insultar	matusi	beleidigen	оскорблять	侮辱	侮辱する	أهان	निन्द्	aşağılamak
11219121-n	owen	Owen	Owen	Robert Owen	owen	deni	Owen	Оуэн	欧文	ロバート・オウエン	أوين	ओवेन	Owen
	cities	kota	ciudades	villes	cidades	miji	Städte	города	城市	都市	المدن	शहर	şehirler
00042311-n	causing	menyebabkan	causalidad	causation	causando	kusababisha	Ursache	причинная связь	导致	原因	إِحْداث	कारण	sebep olmak
07749582-n	lemon	jeruk sitrun	limón	citron	limão	ndimu	Zitrone	лимон	柠檬	レモン	ليمون	नींबू	limon
00270561-v	heal	baik	arreglar	guérir	curar	ponya	heilen	исцелить	治愈	回復+する	شُفِي	चंगा	iyileşmek
07376539-n	banging	membenturkan	golpeando	cogner	batendo	kugonga	hämmern	стук	敲打	バクバク	ضجيجا	ठुकाई	beceriyor
02708923-v	honeymoon	bulan madu	luna de miel	Lune de miel	lua de mel	honeymoon	Flitterwochen	медовый месяц	度蜜月	新婚旅行	شهر العسل	हनीमून	balayı
07186828-n	appeal	doa	imploración	appel	apelo	rufaa	Berufung	призыв	上诉	哀訴	اِسْتِعْطاف	अपील	temyiz
11159214-n	marshall	E. G. Marshall	E. G. Marshall	E.G. Marshall	marechal	marshall	Marshall	Маршалл	马歇尔	マーシャル	مارشال	मार्शल	mareşal
00647542-a	critical	kritis	crítico	critique	crítico	muhimu	kritisch	придирчивый	批判+的	批判的	حرجة	आलोचनात्मक	kritik
	creating	menciptakan	creando	créer	criando	kuunda	erstellen	создание	创造	作成する	خلق	बनाना	yaratmak
08890097-n	scotland	Scotland	Escocia	Écosse	Escócia	Scotland	Schottland	Шотландия	苏格兰	スコットランド	إسكتلندا	स्कॉटलैंड	İskoçya
00028167-v	crane	terbentang	estirarse	grue	guindaste	kreni	Kran	кран	起重机	クレーン	رافعة	क्रेन	vinç
01385255-a	enormous	amat	enorme	énorme	enorme	mkubwa	beträchtlich	огромный	巨大	巨大	هائلة	विशाल	muazzam
06734467-n	testimony	keterangan	testimonio	témoignage	testemunho	ushuhuda	Zeugnis	показание	证言	証言	شهادة	गवाही	tanıklık
00856824-v	praise	memuji	alabar	louer	louvar	shangilia	loben	хвалить	赞扬	褒める	مدح	तारीफ़ करना	övgü
	fights	perkelahian	peleas	combats	brigas	mapambano	Kämpfe	драки	打架	喧嘩する	معارك	लड़ता है	kavgalar
	indians	orang India	indios	indiens	índios	wahindi	Indianer	индейцы	印第安人	インド人	الهنود	भारतीय	Kızılderililer
08324514-n	commission	komite	comité	comité	comité	kamitii	Komitee	комитет	委员会	委員会	لجنة	कमीशन	kurul
	growls	menggeram	gruñidos	grogne	rosna	ananguruma	knurrt	рычит	咆哮声	うなる	الهدير	गुर्राना	hırıltılar
	nicole	Nicole	nicole	Nicole	Nicole	nicole	Nicole	Николь	妮可	ニコール	نيكول	निकोल	Nicole
	sins	dosa	pecados	péchés	pecados	dhambi	Sünden	грехи	罪恶	罪	خطايا	पाप	günahlar
00769092-n	fraud	pemalsuan	fraude	fraude	fraude	ghashi	Betrug	мошенничество	骗局	詐欺	اِحْتِيال	धोखाधड़ी	dolandırıcılık
08401248-n	branch	cabang	subdivisión	succursale	ramo	tanzu	Abzweigung	ответвление	分行	ブランチ	فرْع	शाखा	dal
00050297-r	happily	dengan senang hati	felizmente	joyeusement	alegremente	kwa furaha	glücklich	счастливо	快乐	いそいそ	بسعادة	ख़ुशी से	mutlu bir şekilde
15256714-n	bout	giliran	pelea	tour	luta	pambano	Kampf	раунд	回合	ラウンド	دوْر	मुकाबला	maç
09257949-n	covering	kulit	cubierta	couvrant	cobertura	kufunika	abdecken	покрытие	覆盖	カヴァー	غِطاء	ढकना	kapsayan
00339934-v	occurred	melampaui	pasar	advenir	acontecer	tukiyo	passieren	происходить	发生	起こる	حدث	बीतना	olmak
	beans	kacang	frijoles	haricots	feijão	maharage	Bohnen	фасоль	豆类	豆	فاصوليا	सेम	fasulye
01952643-a	raw	asli	natural	naturel	cru	mbichi	roh	сырой	原料状态的	生の	الخام	कच्चा	ham
05289297-n	muscle	otot	músculo	muscle	músculo	msuli	Muskel	мышца	肌肉	筋肉	عضلة	पेशी	kas
	pages	halaman	paginas	pages	páginas	kurasa	Seiten	страницы	页面	ページ	الصفحات	पन्ने	sayfalar
06329506-n	tense	kala	tiempo	temps	tenso	mvutano	Zeit	время	时态	テンス	صِيغَة الفِعْل	तनावपूर्ण	zaman
	relationships	hubungan	relaciones	relations	relacionamentos	mahusiano	Beziehungen	отношения	关系	人間関係	العلاقات	रिश्ते	ilişkiler
01133281-n	management	arahan	administración	administration	administração	mwelekeo	Verwaltung	управление	指导	マネージメント	إدارة	प्रबंधन	yönetim
00730247-n	assignment	tugas	tarea	tâche	tarefa	kazi	Aufgabe	задание	任务	アサインメント	مهمّة	असाइनमेंट	ödev
09860506-n	blonde	berambut pirang	rubia	blond	loira	blonde	Blond	блондин	金发	ブロンド	شقراء	सुनहरे बालोंवाला	sarışın
00126886-n	catching	menangkap	atrapando	attraper	pegando	kukamata	fangen	ловля	捕捉	捕手をすること	اصطياد	पकड़ना	yakalamak
01886620-a	exposed	terbuka	abierto	ouvrir	exposto	wazi	ausgesetzt	разоблачен	暴露	むき出し	مكشوف	उजागर	maruz
08820121-n	canada	Kanada	Canadá	Canada	Canadá	Kanada	Kanada	Канада	加拿大	カナダ	كندا	कनाडा	Kanada
	dont	jangan	no	ne pas	não	usifanye	nicht	не надо	不要	しないでください	لا تفعل ذلك	नहीं	yapma
08154703-n	han	Dinasti Han	han	dynastie han	Han	han	Han	Хан	汉	藩	هان	हां	han
	von	von	von	von	de	von	von	фон	冯	フォン	فون	वॉन	von
07015510-n	comedy	lawak	comedia	comédie	comédia	vichekesho	Komödie	комедия	喜剧	コメディー	كُومِيديا	कॉमेडी	komedi
	marco	marco	marco	marco	marco	Marco	Marco	Марко	马可	マルコ	ماركو	मार्को	Marco
01225970-v	stroke	membelai	acariciar	caresser	acidente vascular cerebral	kiharusi	streicheln	гладить	抚	なでる	داعب	स्ट्रोक	sıvazlamak
07400156-n	whistling	bunyi	silbato	sifflement	apito	kipenga	Pfeifen	свист	吹口哨	口笛	صفير	सीटी बजाना	ıslık çalmak
	buildings	bangunan	edificios	bâtiments	edifícios	majengo	Gebäude	здания	建筑物	建物	المباني	इमारतें	binalar
00347180-n	shaking	gemetar	sacudida	trembler	tremendo	kutetemeka	zittern	тряска	挥动	振盪	اهتزاز	हिलाना	titriyor
00130701-a	p.m.	sore	PM	p.m.	tarde	p.m.	Uhr	вечера	下午	午後の	مساءا	अपराह्न	öğleden sonra
03315023-n	facility	kemudahan	instalación	infrastructure	instalação	kituo	Einrichtung	объект	设备	ファシリティー	مصْلحة	सुविधा	tesis
00134701-a	appropriate	berkenaan	apropiado	approprié	apropriado	inafaa	angemessen	соответствующий	适当+的	似つかわしい	مناسب	उपयुक्त	uygun
01678417-a	remarkable	hebat	notable	singulier	notável	ya ajabu	bemerkenswert	замечательный	非凡的	出色	رائع	उल्लेखनीय	dikkat çekici
02393086-v	transferred	memindahkan	transferir	transporter	transferido	kuhamishwa	übertragen	переведен	再分配	移らす	نقل	हस्तांतरित	transfer edildi
02433000-a	drawn	ditarik	demacrado	hagard	desenhado	inayotolewa	gezeichnet	нарисованный	疲倦+的	窶々しい	مرسومة	खींचा हुआ	çizilmiş
	tits	payudara	tetas	seins	peitos	matiti	Titten	сиськи	山雀	おっぱい	الثدي	स्तन	memeler
	clicking	mengklik	haciendo clic	en cliquant	clicando	kubofya	Klicken	щелчок	点击	クリックする	النقر	क्लिक करना	tıklamak
06806469-n	symbol	lambang	símbolo	symbole	símbolo	ishara	Symbol	символ	符号	記号	رمز	प्रतीक	simge
03789946-n	motor	enjin	motor	moteur	motor	motor	Motor	мотор	马达	モーター	محرك	मोटर	motorlu
	employees	karyawan	empleados	employés	funcionários	wafanyakazi	Mitarbeiter	сотрудники	员工	従業員	الموظفين	कर्मचारी	çalışanlar
09787534-n	ambassador	ambasador	embajador	ambassadeur	embaixador	balozi	Botschafter	посол	大使	大使	سفير	दूत	büyükelçi
	mothers	ibu	madres	les mères	mães	akina mama	Mütter	матери	母亲们	母親たち	الأمهات	माँ	anneler
07961480-n	pile	longgokan	pila	tas	pilha	rundo	Haufen	куча	堆	重ね	كَوْم	ढेर	öbek
00838367-n	feeding	makan	alimentación	alimentation	alimentação	kulisha	Füttern	кормление	喂养	喫飯	أكْل	खिलाना	besleme
15044844-n	soda	soda	sosa	carbonate de sodium	refrigerante	soda	Limonade	сода	洗涤碱	ソーダ	الصودا	सोडा	soda
	checks	pemeriksaan	cheques	chèques	cheques	hundi	Schecks	чеки	检查	小切手	الشيكات	जाँच करता है	çekler
	bears	beruang	osos	ours	ursos	dubu	Bären	медведи	熊	クマ	الدببة	भालू	ayılar
	cookies	kue	galletas	biscuits	biscoitos	vidakuzi	Kekse	печенье	饼干	クッキー	ملفات تعريف الارتباط	कुकीज़	Çerezler
10609198-n	slut	pelacur	zorra	salope	puta	mchumba	Schlampe	шлюха	荡妇	痴女	وقحة	कुलटा	sürtük
00054950-r	awfully	amat	terriblemente	affreusement	terrivelmente	mbaya sana	schrecklich	ужасно	可怕地	さんざっぱら	بفظاعة	भयानक रूप से	çok
01928838-v	stepped	bertapak	andar	mesurer	pisou	alipiga hatua	trat	шагнул	阶梯式	ステップ+する	مشى	कदम रखा	kademeli
	toys	mainan	juguetes	jouets	brinquedos	wanasesere	Spielzeug	игрушки	玩具	おもちゃ	ألعاب	खिलौने	oyuncaklar
	levels	tingkat	niveles	niveaux	níveis	viwango	Ebenen	уровни	级别	レベル	المستويات	स्तर	seviyeler
00113082-r	differently	berlainan	de otra manera	autrement	diferentemente	tofauti	anders	иначе	反之	異なって	بشكل مختلف	नहीं तो	farklı
01285376-a	magnificent	cemerlang	magnífico	magnifique	magnífico	mzuri	prächtig	великолепный	壮丽	素晴しい	عظيم	शानदार	muhteşem
07657903-n	steak	stik	bife	rumsteck	filé	nyama ya nyama	Steak	стейк	肉排	ステーキ	شريحة لحم	स्टेक	biftek
04493505-n	tube	saluran	tubo	tube	tubo	bomba	Tube	трубка	管	チューブ	أُنْبُوب	ट्यूब	tüp
08381436-n	leaders	kewibawaan	dirección	dirigeants	líderes	viongozi	Führer	лидеры	领导者	幹部	قِيادة	नेता	liderler
02341266-a	superior	cemerlang	superior	supérieur	superior	mkuu	überlegen	вышестоящий	优越	目上	متفوق	श्रेष्ठ	üstün
10173771-n	herr	dia	señor	Herr	senhor	herr	Herr	герр	先生	ハー	هير	हेर	bayım
03880531-n	pan	periuk	sartén	poêle	caçarola	sufuria	Pfanne	сковорода	平底锅	平鍋	عموم	पैन	tava
04679738-n	expression	gaya	expresión	expression	expressão	kujieleza	Ausdruck	выражение	表达	形相	تعْبِير	अभिव्यक्ति	ifade
00048268-r	currently	sekarang	actualmente	maintenant	atualmente	kwa sasa	momentan	в данный момент	目前	現在	حاليا	वर्तमान में	şu anda
04429376-n	throne	singgasana	trono	trône	trono	kiti cha enzi	Thron	трон	宝座	王座	عرش	सिंहासन	taht
00993667-a	deadly	berbahaya	letal	létal	mortal	mauti	tödlich	смертельный	致命的	殺人的	قاتلة	घातक	ölümcül
02206856-n	bee	lebah	abeja	abeille	abelha	nyuki	Biene	пчела	蜜蜂	蜂	نحلة	मधुमक्खी	arı
05282746-n	tooth	gigi	diente	dent	dente	jino	Zahn	зуб	牙	乳歯	ضِرْس	दाँत	diş
01212867-a	depressed	bawah	hundido	déprimé	deprimido	huzuni	deprimiert	депрессивный	郁闷	落ち込んだ	مكتئب	उदास	depresif
07710616-n	potatoes	kentang	patata	pomme de terre	batata	batata	Kartoffel	картофель	土豆	じゃがいも	بطاطا	आलू	patates
02513740-a	wicked	bangpak	inicuo	méchant	perverso	waovu	böse	злой	不道德+的	あくどい	شرير	दुष्ट	kötü
	resources	sumber daya	recursos	ressources	recursos	rasilimali	Ressourcen	ресурсы	资源	リソース	الموارد	संसाधन	kaynaklar
01036083-a	native	ibunda	nativo	aborigène	nativo	asili	einheimisch	родной	本地人	ネイティブ	أصلي	देशी	yerli
	centuries	berabad-abad	siglos	siècles	séculos	karne nyingi	Jahrhunderte	века	世纪	何世紀にもわたって	قرون	सदियों	yüzyıllar
	karl	Karl	carlos	Karl	Carlos	karl	Karl	Карл	卡尔	カール	كارل	कार्ल	Karl
07092592-n	poetry	bait	poesía	vers	verso	ushairi	Poesie	стих	诗歌	詩	شعر	काव्य	şiir
02215977-a	multiple	berbilang	multiple	nombreux	múltiplo	nyingi	mehrfach	множественный	复合+的	複数の	متعددة	एकाधिक	çoklu
06275095-n	cable	kabel	cable	câble	telegrama	kebo	Telegramm	телеграмма	电缆	外国電報	كابل	केबल	kablo
00034189-r	shortly	segera	pronto	rapidement	em breve	hivi punde	in Kürze	скоро	不久	間もなく	قريبا	शीघ्र ही	kısaca
02182109-v	buzz	berdengung	murmurar	bourdonnement	zumbido	buzz	Summen	шуметь	发嗡嗡声	ブンブンいう	طنين	चर्चा	vızıltı
	socks	kaus kaki	calcetines	chaussettes	meias	soksi	Socken	носки	袜子	靴下	الجوارب	मोजे	çorap
	fingerprints	sidik jari	huellas dactilares	empreintes digitales	impressões digitais	alama za vidole	Fingerabdrücke	отпечатки пальцев	指纹	指紋	بصمات الأصابع	उंगलियों के निशान	parmak izleri
09535622-n	goddess	Dewi	diosa	déesse	deusa	mungu mke	Göttin	богиня	女神	女神	إلاهة	देवी	tanrıça
05599617-n	chin	dagu	barbilla	menton	queixo	tawa	Kinn	подбородок	下巴	顎	ذقن	ठुड्डी	çene
00811248-a	anxious	cemas	ansioso	désireux	ansioso	wasiwasi	ängstlich	стремиться	强烈的愿望+的	不安な	قلق	चिंतित	endişeli
15212739-n	september	september	septiembre	septembre	setembro	Sep	September	сентябрь	九月	九月	سبتمبر	सितम्बर	eylül
03071923-n	colors	warna	colores	drapeau	cores	rangi	Farben	цвета	军旗	国旗	الألوان	रंग	renkler
00480993-n	basketball	bola basket	baloncesto	basket-ball	basquete	mpira wa kikapu	Basketball	баскетбол	篮球	バスケットボール	كرة السلة	बास्केटबॉल	basketbol
	promises	janji	promesas	promesses	promessas	ahadi	verspricht	обещания	承诺	約束	الوعود	वादे	vaatler
	explained	menjelaskan	explicado	expliqué	explicado	alielezea	erklärt	объяснил	解释了	説明した	وأوضح	समझाया	açıkladı
04673965-n	appearance	rupa	apariencia	apparence	aparência	mwonekano	Aussehen	внешность	外貌	様子	شكل	रूप	görünüm
02867783-a	musical	musikal	musical	musical	musical	ya muziki	musikalisch	мюзикл	音乐+的	ミュージカル	مُوسِيقِيّ	संगीतमय	müzikal
	sends	mengirimkan	envía	envoie	envia	hutuma	sendet	отправляет	发送	送信します	يرسل	भेजता है	gönderir
01870275-v	slide	memasukkan	resbalar	glisser	escorregar	slaidi	ausrutschen	поскальзываться	侧滑	滑る	اِنْزلق	स्लाइड	slayt
	aii	aii	aii	aii	aii	aii	aii	айи	艾伊	ああ	aii	एआई	aii
11296602-n	shawn	Shawn	Shawn	Ted Shawn	Shawn	shawn	Shawn	Шон	肖恩	ショーン	شون	शॉन	Shawn
01578312-a	ultimate	terakhir	extremo	dernier	final	mwisho	ultimativ	окончательный	最终+的	究極的	في نهاية المطاف	परम	nihai
07668702-n	pork	daging babi	cerdo	porc	carne de porco	nyama ya nguruwe	Schweinefleisch	свинина	猪肉	豚肉	لحم خنزير	सुअर का मांस	domuz eti
06252138-n	communication	komunikasi	comunicación	communication	comunicação	mawasiliano	Kommunikation	коммуникация	通信	通信	إتصالات	संचार	iletişim
13278375-n	payment	bayaran	pago	paiement	pagamento	malipo	Zahlung	оплата	付款	ペイメント	دفْع	भुगतान	ödeme
04341686-n	structure	bangunan	construcción	construction	estrutura	muundo	Struktur	структура	组织	ストラクチャー	بُنْية	संरचना	yapı
00582071-n	paperwork	dokumen	papeleo	tâches administratives	papelada	makaratasi	Schreibarbeit	канцелярская работа	文书工作	事務処理	الأوراق	कागजी कार्रवाई	evrak işi
00544478-a	obsessed	terobsesi	obsesionado	obsédé	obcecado	obsessed	besessen	одержимый	着迷的	一途	مهووس	जुनूनी	takıntılı
00981304-a	lazy	malas	perezoso	paresseux	preguiçoso	mvivu	faul	ленивый	懒惰	怠惰な	كسول	आलसी	tembel
	russians	Rusia	rusos	les russes	russos	Warusi	Russen	русские	俄罗斯人	ロシア人	الروس	रूसी	Ruslar
	actors	aktor	actores	acteurs	atores	waigizaji	Schauspieler	актеры	演员	俳優	الجهات الفاعلة	अभिनेता	aktörler
01593937-v	squeeze	melindas	aplastamiento	presser	apertar	punguza	quetschen	раздавливать	压榨	取り拉ぐ	ضغط	निचोड़ना	sıkmak
01576071-a	magical	ajaib	mágico	magie	mágico	ya kichawi	magisch	волшебный	神奇的	魔法的	سحري	जादुई	büyülü
	colleagues	rekan kerja	colegas	collègues	colegas	wenzake	Kollegen	коллеги	同事	同僚	الزملاء	सहकर्मियों	meslektaşlar
01827858-v	admire	mencandui	admirar	admirer	admirar	admire	bewundern	восхищаться	佩服	感心する	عجب	प्रशंसा करें	hayran olmak
14395240-n	madness	edan	furia	folie	loucura	wazimu	Wahnsinn	безумие	愤怒	気狂い	الجنون	पागलपन	delilik
08640300-n	roads	jalan raya	fondeadero	rade	estradas	barabara	Reede	рейд	道路	錨地	الطرق	सड़कें	yollar
06503724-n	entry	entri	registro	élément	registro	kuingia	Eintrag	запись	记录	収録項目	دفتر	प्रवेश	giriş
14285662-n	injury	luka	daño	mal	dano	afa	Schaden	вред	损害	損害	ضرر	नुक़सान	zarar
05832745-n	burden	beban	carga	charge	carga	mzigo	Belastung	ноша	负担	厄介なもの	حمل	बोझ	yük
00449295-n	racing	balap	carrera	course	corrida	mbio	Rennen	гонки	赛车	競走	سباق	रेसिंग	yarış
04928903-n	manner	stail	moda	mode	estilo	namna	Mode	мода	样式	様式	أسلوب	ढंग	tarz
13484644-n	freezing	kebekuan	congelación	congélation	congelando	kuganda	Einfrieren	замораживание	凝固	冷凍	إنْجِماد	जमना	donma
	bits	bit	bits	morceaux	pedaços	bits	Bits	биты	位	ビット	بت	बिट्स	bitler
11209428-n	norman	Jessye Norman	Jessye Norman	normand	normando	Norman	normannisch	Норман	诺曼	ノーマン	نورمان	नॉर्मन	Norman
01343204-v	mount	melekapkan	engastar	monter	montar	mlima	montieren	монтировать	安装	マウント	جبل	माउंट	montaj
08389572-n	battery	baterai	batería	batterie	bateria	betri	Batterie	батарея	炮兵连	バッテリー	سَرِيَّة مِدْفَعِيَّة	बैटरी	pil
07609840-n	dessert	disert	dulce	dessert	sobremesa	dessert	Nachspeise	десерт	点心	デザート	حلوى	मिठाई	tatlı
13720096-n	pound	paun	libra	livre	libra	ratili	Pfund	фунт	磅	ポンド	باوند	पाउंड	libre
	visited	dikunjungi	visitado	visité	visitou	alitembelea	besucht	посетил	访问过	訪れた	زار	दौरा किया	ziyaret edildi
03788498-n	motel	motel	motel	motel	motel	moteli	Motel	мотель	汽车旅馆	モーテル	موتيل	मोटल	motel
07392483-n	rumbling	bersungut	redoble	borborygme	estrondoso	kunguruma	Poltern	грохочущий	隆隆声	ゴロゴロいう音	الهادر	गड़गड़ाहट	homurtu
06262567-n	cinema	bioskop	celuloide	cinéma	cinema	sinema	Kino	кино	电影	映画	شَرِيط سِينَمائِي	सिनेमा	sinema
01464700-a	fond	hangat	tierno	tendre	terno	upendo	zart	нежный	重感情	優しい	مولعا	शौकीन	düşkün
00255415-r	halfway	setengah-setengah	a medio camino	mi-chemin	meio caminho	nusu	halbwegs	наполовину	半路	途中	في منتصف الطريق	आधे रास्ते	yarı yolda
04090263-n	rifle	senapan	fusil	fusil	fuzil	bunduki	Gewehr	ружьё	步枪	小銃	بندقية	राइफल	tüfek
06630852-n	reception	reaksi	acogida	réponse	recepção	mapokezi	Rezeption	прием	接待	リセプション	استقبال	स्वागत	resepsiyon
04306847-n	statue	arca	estatua	statue	estátua	sanamu	Statue	статуя	雕像	像	تمثال	प्रतिमा	heykel
03273913-n	fridge	lemari es	nevera	réfrigérateur	geladeira	friji	Kühlschrank	холодильник	冰箱	冷蔵庫	ثلاجة	फ्रिज	buzdolabı
02897820-n	brick	batu bata	ladrillo	brique	tijolo	matofali	Backstein	кирпич	砖块	煉瓦	طوبة	ईंट	tuğla
02228031-v	abandon	buang	abandonar	abandonner	abandonar	kuacha	aufgeben	оставлять	遗弃	放置する	تَرَكَ	छोड़ देना	terk etmek
05562595-n	lap	pangkuan	regazo	genoux	colo	paja	Schoß	колени	腰以下及大腿的前面部分	膝	حِجْر	गोद	kucak
	natalie	Natalie	natalia	natalie	Natália	natalie	Natalie	Натали	娜塔莉	ナタリー	ناتالي	नेटली	natalie
	wars	perang	guerras	guerres	guerras	vita	Kriege	войны	战争	戦争	الحروب	युद्ध	savaşlar
00875141-v	recommend	memaksa	abogar	recommander	recomendar	kupendekeza	empfehlen	рекомендовать	推荐	とき勧める	أوْصى بـ	सिफ़ारिश करना	tavsiye
08437515-n	brush	belukar	matorral	fourré	escova	brashi	copse	рощица	丛林	茂み	فرشاة	ब्रश	fırça
11203059-n	nelson	Admiral Nelson	Horatio Nelson	Nelson	Nelson	nelson	Nelson	Нельсон	纳尔逊	ネルソン	نيلسون	नेल्सन	Nelson
03936764-n	pill	pil	pastilla	pilule	pílula	kidonge	Pille	таблетка	药丸	錠剤	حبوب منع الحمل	गोली	hap
05835747-n	concept	anggitan	concepto	concept	conceito	dhana	Begriff	концепция	概念	概念	مفهوم	संकल्पना	kavram
14659512-n	w	wolfram	tungsteno	tungstène	tungstênio	w	Wolfram	вольфрам	钨	タングステン	تنجستين	टंगस्टन	volfram
00459776-v	delay	berayal-ayalan	atrasar	retarder	atraso	kuchelewa	Verzögerung	задержка	延迟	延ばす	تأخير	देरी	gecikme
03679384-n	quarters	perempat	vivienda	domicile	trimestres	robo	Viertel	помещения	住宅	住居空間	محلّ إقامة	क्वार्टर	çeyrekler
08954611-n	korea	Korea	Corea	Corée	Coreia	Korea	Korea	Корея	朝鲜	朝鮮	كوريا	कोरिया	Kore
	janet	janet	janet	Janet	Janete	janet	Janet	Джанет	珍妮特	ジャネット	جانيت	जेनेट	janet
01249724-v	rub	bergesek	frotar	frotter	esfregar	kusugua	reiben	тереть	擦	擦る	حك	रगड़ना	sürtmek
04010205-n	mall	mal	centro comercial	promenade	shopping	maduka	Einkaufszentrum	торговый центр	商场	遊歩道	مول	मॉल	alışveriş merkezi
14498096-n	soil	daki	grasa	grunge	solo	udongo	Boden	почва	变脏	汚れ	التربة	मिट्टी	toprak
14055408-n	complaint	cedera	dolencia	maladie	reclamação	lawama	Beschwerde	недомогание	怨言	慢性的な軽い病気	شكْوى	शिकायत	şikayet
01846658-v	sail	berlayar	navegar	voile	navegar	tanga	segeln	парус	帆	帆走+する	أبْحر	पाल	yelken
09833651-n	baker	tukang roti	panadero	boulanger	padeiro	mwokaji	Bäcker	хлебопёк	面包师	パン屋	خباز	नानबाई	fırıncı
	coughs	batuk	tose	toux	tosse	kikohozi	Husten	кашель	咳嗽	咳	السعال	खांसी	öksürük
02909870-n	bucket	ember	balde	seau	balde	ndoo	Eimer	ведро	水桶	バケツ	دلو	बाल्टी	kova
06724763-n	description	deskripsi	descripción	description	descrição	maelezo	Beschreibung	описание	描写	記述	وصف	विवरण	tanım
06882561-n	badge	lambang	medalla	insigne	distintivo	beji	Abzeichen	значок	徽章	エンブレム	شارة	बिल्ला	rozet
00647094-v	measure	ukur	medir	mesurer	medir	kipimo	messen	измерять	测量	計る	قاس	उपाय	ölçmek
05556325-n	hip	pinggang	cadera	hanche	quadril	nyonga	Hüfte	бедро	髋	ヒップ	ورك	कूल्हा	kalça
13783816-n	function	fungsi	función	fonction	função	kazi	Abbildung	функция	函数	1価関数	وظيفة	समारोह	fonksiyon
00211815-r	indistinctly	tidak jelas	indistintamente	indistinctement	indistintamente	bila dhahiri	undeutlich	нечетко	隐约地	うすうす	بشكل غير واضح	अस्पष्ट रूप से	belli belirsiz
11031257-n	harris	Harris	Joel Chandler Harris	harris	Harris	harris	Harris	Харрис	哈里斯	ジョーエル・チャンドラー・ハリス	هاريس	हैरिस	harris
13790712-n	foundation	dasar	fundación	bases	fundação	msingi	Stiftung	фундамент	基础	下地	أساس	नींव	vakıf
08180639-n	labor	buruh	clase obrera	classe ouvrière	trabalho	kazi	Arbeiterklasse	рабочий класс	工人阶级	労働者階級	الطبقة العاملة	कामगार वर्ग	işçi sınıfı
	willie	willie	willy	Willie	willie	willie	Willie	Вилли	威利	ウィリー	ويلي	विली	Willie
10763383-n	waiter	pelayan	camarera	serveur	garçom	soroveya	Ober	официант	服务员	ウエーター	نادل	वेटर	garson
10182190-n	homeless	tunawisma	sin techo	SDF	sem teto	wasio na makazi	obdachlos	бездомный	无家可归的	ホームレス	بلا مأوى	बेघर	evsiz
01893724-a	proved	terbukti	comprobado	prouvé	comprovado	imethibitishwa	bewiesen	доказал	证明了	明らか	ثبت	साबित हुआ	kanıtlandı
01049462-a	unfortunate	jentaka	desafortunado	infortuné	infeliz	bahati mbaya	unglücklich	неудачный	不吉利+的	あいにく	مؤسف	दुर्भाग्यपूर्ण	talihsiz
14942762-n	log	balak	leño	bûche	tora	kikingi	Log	бревно	原木	丸太	سجل	लॉग	günlük
	meetings	pertemuan	reuniones	réunions	reuniões	mikutano	Treffen	встречи	会议	会議	الاجتماعات	बैठकें	toplantılar
	giggles	cekikikan	risitas	rires	risos	kucheka	kichert	хихикает	咯咯笑	くすくす笑う	الضحك	खिलखिलाता है	kıkırdamalar
00964343-n	combat	peperangan	combate	bataille	combate	kupambana	Kampf	бой	战斗	コンバット	قِتال	मुकाबला	dövüş
06377442-n	poem	puisi	poema	poème	poema	shairi	Gedicht	стихотворение	诗	詩	قصيدة	कविता	nazım
01245637-v	polish	berbinar-binar	pulir	polir	lustrar	polish	polieren	полировать	擦亮	磨く	لمع	पोलिश	parlatmak
02027704-a	handed	diserahkan	entregado	remis	entregue	mikononi	übergeben	вручил	有手+的	渡された	سلم	सौंप दिया	teslim edildi
	mia	mia	mía	Mia	minha	mia	mia	миа	米娅	ミア	ميا	मिया	mia
13085113-n	weed	rumput liar	mala hierba	mauvaise herbe	erva daninha	kwekwe	Unkraut	сорняк	野草	雑草	عشبة ضارة	घास	ot
	raymond	Raymond	raimon	Raymond	Raimundo	raymond	Raymond	Рэймонд	雷蒙德	レイモンド	ريمون	रेमंड	Raymond
13777509-n	tons	banyak	avalancha	montagne	toneladas	tani	Tonnen	тонны	一大堆	多く	طن	टन	ton
04137444-n	satellite	satelit	satélite	satellite	satélite	satelaiti	Satellit	спутник	卫星	人工衛星	قمر صناعي	उपग्रह	uydu
09112282-n	jersey	Garden State	Nueva Jersey	New Jersey	Nova Jérsei	Jersey	Jersey	Нью-Джерси	新泽西	ニュージャージー	نيو جيرسي	न्यू जर्सी	New Jersey
01613294-n	eagle	elang	águila	aigle	águia	tai	Adler	орёл	老鹰	鷲	نسر	गरुड	kartal
04622932-n	privacy	privasi	intimidad	intimité	intimidade	faragha	Zurückgezogenheit	уединение	隐私	グライバシー	سرية	गोपनीयता	gizlilik
06396142-n	chapter	pasal	capítulo	chapitre	capítulo	sura	Kapitel	глава	章	章	فصل	अध्याय	bölüm
